job_title,company_name,rating,experience,salary,location,job_description,skills
Cloud Migration Engineer,Accenture,4.0,3-8 Yrs,Not disclosed,Pune,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"java frameworks,java,hadoop administration,hadoop,cloud computing,css,project management,application migration"
Devops Cloud Engineer,CONTUS TECH,4.5,5-10 Yrs,Not disclosed,Chennai,Experience in delivering and managing web or cloud-based services Experience with netwo...,"Unix,Cloud computing,Linux,Networking,SNMP,SCM,Troubleshooting,Load balancing"
Cloud Engineer,Photon,4.1,5-8 Yrs,Not disclosed,Chennai,. Must possess a strong understanding of IT technology including hardware and software ...,"Computer science,VMware,Cloud computing,Disaster recovery,IT operations,Business continuity,Virtualization,Monitoring"
Cloud & Devops Engineer,Isolve Technologies,2.9,3-8 Yrs,Not disclosed,Chennai,Scripting Skill in Bash . Good experience in Microservice-based application deployments...,"Cloud computing,Business transformation,Costing,Managed services,Project costing,devops,Postgresql,microsoft"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Gurugram,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","linux internals,docker,cloud architecture,infrastructure,linux,kubernetes,python,project management"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Kolkata,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","linux internals,docker,cloud architecture,infrastructure,linux,kubernetes,continuous integration,python"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Kolkata,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","linux internals,docker,cloud architecture,infrastructure,linux,kubernetes,continuous integration,python"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Gurugram,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","linux internals,docker,cloud architecture,infrastructure,linux,kubernetes,python,project management"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Gurugram,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","python,microsoft azure,microsoft windows server administration,microsoft windows,aws,project management,vmware,dns"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Pune,"Project Role : Cloud Platform EngineerProject Role Description : Designs, builds, tests...","microsoft azure,linux internals,docker,linux,terraform,kubernetes,continuous integration,python"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Indore,Educational Qualification : 15 years full time education. Summary :As a Cloud Platform ...,"python,microsoft azure,linux internals,docker,aws,kubernetes,continuous integration,maven"
"Senior Software Engineer, Cloud Platform",Startree,None,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","What we re looking for: . Bachelors degree in Computer Science, and / or 4+ years relev...","Cloud computing,Automation,GCP,Agile,Deployment,Apache,Open source,Distribution system"
Software Engineer,HCLTech,3.6,0-2 Yrs,Not disclosed,"Chennai, Bengaluru, Delhi / NCR",HCLTech is looking for experienced (06 to 24 months) or freshers SAP SD / MM/FICO / SAC...,"SAP FICO,SAP SD,SAP MM,SAP SAC-P,SAP PLM,SAP EWM,SAP EHANA,Software"
Distributed Cloud Advance Engineer,"F5 Networks, Inc",4.0,3-7 Yrs,Not disclosed,Bengaluru,"Experience with observability tooling including logging infrastructure, continuous moni...","Cloud computing,Networking,Agile,Customer support,Troubleshooting,Information technology,Technical support,Monitoring"
GCP Cloud Engineer,Ford,4.5,2-6 Yrs,Not disclosed,Chennai,Bachelor s degree in computer science or a related field 5+ years of experience in soft...,"Data analysis,cloud security,Networking,Data modeling,Access management,GCP,Data quality,SQL"
.Net Fullstack Developer with Angular/React with any Cloud (Azure/AWS),Zensar,None,5-10 Yrs,20-32.5 Lacs PA,"Hyderabad, Pune, Bengaluru"," Hi,  Hope you are looking for a job change. We have opening for .Net Fullstack Develop...","Angular,Microservices Development,Azure Cloud,ASP.Net,Net Fullstack,Entity Framework Core,.Net Core,Aws Cloud"
Cloud Platform Engineer,Accenture,4.0,3-8 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"cloud integration,performance testing,docker,data modeling,cloud applications,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Chennai,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","oracle hcm cloud,talent management,cloud architecture,cloud infrastructure,design principles,kubernetes,python,project management"
Cloud Platform Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Chennai,Educational Qualification : 15 years full time education. Summary: As a Cloud Platform ...,"performance testing,cloud platform,data modeling,cloud applications,cloud infrastructure,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,3-8 Yrs,Not disclosed,Chennai,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","performance testing,microsoft azure,cloud platform,cloud infrastructure,aws,kubernetes,python,vmware"
DevOps Engineer (AWS),Norstella,3.6,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Minimum Qualification: B Tech or equivalent from an accredited institution . Domain: Pr...,"Health insurance,Cloud computing,devops,Pharma,Machine learning,Javascript,Life sciences,AWS"
