job_title,company_name,rating,experience,salary,location,job_description,skills
Content Creator,Buddys Infotech,,0-3 Yrs,Not disclosed,New Delhi,This position is only open to individuals who work from the office and reside in DelhiM...,"Content strategy,Media management,Social marketing,digital content,Social media,Scheduling,content marketing,Digital marketing"
Test Engineer,Rockwell Automation,3.8,2-6 Yrs,Not disclosed,Chennai,"Bachelors degree Electrical Engineering (EE), Electrical Engineering Technology(EET), E...","test engineering,automation,software testing,problem solving,agile,product testing,Engineering,Software"
Backend Developer,IBM,4.1,2-7 Yrs,Not disclosed,Bengaluru,Available for on-call shifts during daytime hours and weekendsAll of this will take pla...,"docker,system administration,git,cloud storage,container orchestration,continuous integration,kubernetes,golang"
Cloud Platform Engineer,Accenture,4.0,7-11 Yrs,Not disclosed,Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : Engineering gr...,"microsoft azure,data modeling,gcp,cloud infrastructure,aws,kubernetes,python,vmware"
Test Engineer,Qualitykiosk Technologies,3.5,2-4 Yrs,Not disclosed,"Mumbai, Navi Mumbai",QualityKiosk is looking for Test Engineer to join our dynamic team and embark on a rewa...,"software testing,regression testing,automation testing,test cases,manual testing,smoke testing,functional testing,test engineering"
Java Developer with kafka,Geeksoft,3.1,6-11 Yrs,Not disclosed,"Hybrid - Chennai, Bengaluru",The position operates during day shifts and does not require travel. . Oversee the enti...,"JAVA MSD,Java,Kafka,Kafka Messaging,Development,Messaging"
Senior Software Specialist-Java,PTC,4.2,2-5 Yrs,Not disclosed,Pune,"Bachelor s / Master s degree in Computer Science, Computer Engineering, Information tec...","server,continuous integration,cd,software development,analytical,software,information technology,unit testing"
Senior engineer - Embedded - RDSE - PU,Marquardt,3.9,6-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",. Educationalqualifications . B.tech / BE / M.tech / ME in Electronics / Instrumentatio...,"AUTOSAR,Embedded C,Mechatronics,Software design,Diagnostics,Coding,Instrumentation,MATLAB"
Senior Full Stack Python Developer,Institutional Shareholder Services,3.8,5-10 Yrs,Not disclosed,"Hybrid - Mumbai Suburban, Goregaon",Work closely with our Quality Assurance team during the testing and deployment phases o...,"Database Design,Linux,Snowflake,Python Development,API development,htmx,Python Flask,Graphql"
Backend Developer,Tecqubes Technologies,4.4,1-3 Yrs,Not disclosed,Chennai,Experience With Elastic Search Or Solr Is PreferredBasics understanding of cloud infras...,",spring security,spring data,springboot,nosql,Backend,Backend Development,Spring Boot"
