job_title,company_name,rating,experience,salary,location,job_description,skills
Marketing & Sales Executive,Bevel Trading  Marketing,2.9,0-3 Yrs,1.25-3 Lacs PA,Kolkata,Role & responsibilities: Conducting market research to identify selling possibilities a...,"Communication Skills,Sales And Marketing,Sales,Marketing,Sales executive activities"
Any Graduate/BBA/BMS/BCOM/MBA - Fresher For Sales/ Events/Marketing/PR,Millennium Organisation,2.9,0-3 Yrs,3-6 Lacs PA,"Mumbai, Mumbai (All Areas)",Graduate or Postgraduate in any stream  Freshers  Willingness to Learn and Develop,"BBA,Marketing,Sales,Fresher,Interpersonal Skills,Bmm,Promotions,Bhm"
Marketing Executive,Onestad Store Llp,,0-5 Yrs,1.8-3.6 Lacs PA,New Delhi(Pooth Kalan),Responsibilities:Conduct direct marketing campaignsPERFORMING field sales activitiesExe...,"Field Marketing,Direct Marketing,Field Sales,Sales Executive Activities,Direct,Field,Sales,Marketing"
Python Software Developer,Infosys,3.8,4-6 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Experience working on Agile is preferredExperience in Automation, Programming skills in...","Python Development,Pyspark,Big Data,Spark,Software,Development,Software development,Data"
Solution Architect,Accenture,4.0,15-20 Yrs,Not disclosed,Bengaluru,Collaborate with the Sales Pursuit and Delivery Teams to develop a winnable and deliver...,"presentation skills,plm,devops,agile,sdlc,architecting,it transformation,enterprise architecture"
Marketing Executive,Spanstruct,,0-2 Yrs,Not disclosed,Chennai,Tech Thulasii is looking for Marketing Executive to join our dynamic team and embark on...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
Embedded Engineer ( Linux Device driver),Acclivis Technology,3.7,3-6 Yrs,Not disclosed,Pune,"Hands-on experience in Linux BSP development (Device Driver Development, Device Tree ) ...","Memory management,SOC,Linux kernel,Debugging,Device driver development,Dma,SPI,Management"
"Lead Engineer, Senior - Software Embedded Display","Qualcomm Technologies, Inc",3.9,3-6 Yrs,Not disclosed,Hyderabad,"  As a Qualcomm Software Engineer, you will design, develop, create, modify, and valida...","C++,Linux,Staffing,Analytical,Debugging,Programming,Python,Android"
Embedded Hardware Design Engineer,Maestrotek Innovations,4.0,0-3 Yrs,Not disclosed,Pune,"Hands on experience on PCB schematics layout design, using tools Eagle Orcad","Basic,Analog,Thyristor,Hardware design,Electronics,Instrumentation,Power electronics,Power supply"
Embedded Engineer,GT Silicon,,3-6 Yrs,Not disclosed,"Kanpur, Kanpur","Very good knowledge of digital logic design, digital arithmetic & microprocessorsrsquo ...",",dded,java,bluetooth,usb,communication protocols,em,gps"
"Data Scientist - Python, AWS, Gen AI",Winning Edge,2.5,8-11 Yrs,Not disclosed,Bengaluru,Overall experience of 8-10 years of experience with 2 years preferred experience in AI ...,"Python,Gen AI,Azure,PyTorch,NLP,model evaluation,AWS,TensorFlow"
Embedded Engineer,Job Express Live,,2-4 Yrs,3.75-4.75 Lacs PA,Surat,Urgently Required Embedded Engineer for Surat Based robotics machines manufacturing com...,"Embedded Systems,Embedded Testing,Microcontroller,Electronics,Embedded Software Testing,Embedded Programming,Embedded System Design,Embedded Software"
Marketing Manager,Bksteel Industries,,10-15 Yrs,Not disclosed,Kolkata,". B2B sales, Institutional Sales, From PSU, SME, OIL GAS . Good Communication","marketing strategies,new business,branding,business development,advertising,marketing management,public relations,sales"
Python Software Developer,.,,5-8 Yrs,9-12 Lacs PA,"Hybrid - Chennai, Coimbatore, Bengaluru","Project Role Description : Lead the effort to design, build and configure applications,...","python,Django,Pandas,Tableau,Python Development,Numpy,Flask,Software"
